# Cleanup candidates (.tmp.driveupload older than 30 days)

FullName                                        SizeMB LastWriteTime
C:\Users\mana4\Desktop\.tmp.driveupload\3156562   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3155912   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156198   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156416   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156070   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156030   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3155902   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156328   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156292   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156324   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156690   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156602   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156022   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156650   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156074   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156480   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156474   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156130   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3155888   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156388   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156576   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156436   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156496   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156536   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156458   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156094   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156188   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156106   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156318   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156190   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156056   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156632   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3155956   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156670   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156010   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156604   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156344   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156160   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156476   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156290   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156032   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156060   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3155986   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3155834   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156082   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156184   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156364   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156482   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156448   0.00 2025/12/29 8:56:52
